"156","Targi","タルギ","2012","7.419","2.33","2","Andreas Steiger","https://boardgamegeek.com/boardgame/118048/targi"
"157","Cartographers","カートグラファー","2019","7.417","1.88","3,4","Jordy Adan","https://boardgamegeek.com/boardgame/263918/cartographers"
"158","Hadrian's Wall","ハドリアヌスの長城","2021","7.416","3.16","1","Bobby Hill","https://boardgamegeek.com/boardgame/304783/hadrians-wall"
"159","Res Arcana","レスアルカナ","2019","7.415","2.64","2","Thomas Lehmann","https://boardgamegeek.com/boardgame/262712/res-arcana"
"160","Star Realms","","2014","7.412","1.92","2","Robert Dougherty,Darwin Kastle","https://boardgamegeek.com/boardgame/147020/star-realms"
"161","Slay the Spire: The Board Game","","2024","7.41","2.89","2","Gary Dworetsky,Anthony Giovannetti,Casey Yano","https://boardgamegeek.com/boardgame/338960/slay-the-spire-the-board-game"
"162","Tyrants of the Underdark","","2016","7.409","2.56","4","Peter Lee,Rodney Thompson,Andrew Veen","https://boardgamegeek.com/boardgame/189932/tyrants-of-the-underdark"
"163","Watergate","ウォーターゲート","2019","7.408","2.27","2","Matthias Cramer","https://boardgamegeek.com/boardgame/274364/watergate"
"164","Alchemists","アルケミスト","2014","7.408","3.92","4","Matúš Kotry","https://boardgamegeek.com/boardgame/161970/alchemists"
"165","It's a Wonderful World","イッツアワンダフルワールド","2019","7.405","2.32","4","Frédéric Guérard","https://boardgamegeek.com/boardgame/271324/its-a-wonderful-world"
"166","Magic: The Gathering","","1993","7.403","3.27","2","Richard Garfield,David Iezzi","https://boardgamegeek.com/boardgame/463/magic-the-gathering"
"167","Ticket to Ride: Europe","チケット・トゥ・ライド・ヨーロッパ","2005","7.402","1.92","4","Alan R. Moon","https://boardgamegeek.com/boardgame/14996/ticket-to-ride-europe"
"168","Undaunted: Normandy","","2019","7.402","2.25","2","Trevor Benjamin,David Thompson (I)","https://boardgamegeek.com/boardgame/268864/undaunted-normandy"
"169","Praga Caput Regni","プラハ　王国の首都","2020","7.399","3.73","3","Vladimír Suchý","https://boardgamegeek.com/boardgame/308765/praga-caput-regni"
"170","The Lord of the Rings: Duel for Middle-earth","指輪物語：デュエル 中つ国の決戦","2024","7.398","2.03","2","Antoine Bauza,Bruno Cathala","https://boardgamegeek.com/boardgame/421006/the-lord-of-the-rings-duel-for-middle-earth"
"171","Too Many Bones: Undertow","","2018","7.397","4.04","2","Adam Carlson,Josh J. Carlson","https://boardgamegeek.com/boardgame/235802/too-many-bones-undertow"
"172","Kemet","","2012","7.396","3","4,5","Jacques Bariot,Guillaume Montiage","https://boardgamegeek.com/boardgame/127023/kemet"
"173","Stone Age","ストーンエイジ","2008","7.395","2.46","4","Bernd Brunnhofer","https://boardgamegeek.com/boardgame/34635/stone-age"
"174","The Lord of the Rings: The Card Game","","2011","7.394","3.21","2","Nate French","https://boardgamegeek.com/boardgame/77423/the-lord-of-the-rings-the-card-game"
"175","ISS Vanguard","","2022","7.394","3.66","1,2","Andrzej Betkiewicz,Krzysztof Piskorski,Paweł Samborski,Marcin Świerkot","https://boardgamegeek.com/boardgame/325494/iss-vanguard"
"176","Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","シャーロックホームズ10の怪事件","1982","7.392","2.66","2","Raymond Edwards,Suzanne Goldberg,Gary Grady","https://boardgamegeek.com/boardgame/2511/sherlock-holmes-consulting-detective-the-thames-mu"
"177","Endeavor: Age of Sail","","2018","7.39","2.84","4","Carl de Visser,Jarratt Gray","https://boardgamegeek.com/boardgame/233398/endeavor-age-of-sail"
